l,h
116,76
62,76
406,76
210,76
194,76
185,76
216,76
216,76
198,34
198,34
205,34
165,38
197,30
186,76
186,76
133,76
133,76
151,34
151,34
50,34
119,26
78,38
72,38
184,38
184,38
110,26
110,32
132,26
116,26
131,30
114,26
176,76
173,38
220,38
220,38
203,38
204,38
204,38
275,38
281,38
281,38
178,38
178,38
185,22
186,32
98,34
134,55
104,38
135,22
130,34
155,34
91,18
405,76
405,76
405,76
174,38
174,38
154,34
152,34
137,34
137,34
175,38
198,38
222,34
241,34
167,30
160,30
153,30
284,55
235,38
272,32
280,55
274,38
87,38
188,34
188,38
165,55
165,55
165,55
165,55
245,34
205,38
205,38
120,16
136,30
128,55
118,55
118,55
131,34
160,38
160,30
140,55
184,16
283,38
322,38
322,38
179,38
197,38
160,34
165,38
165,34
123,28
122,55
157,30
168,34
133,34
73,38
404,38
403,38
403,38
226,76
226,76
268,38
220,38
220,38
138,38
195,76
210,38
263,38
120,34
140,76
140,76
60,34
196,38
212,38
145,32
190,76
190,76
179,38
176,38
120,34
60,38
300,34
300,34
300,34
205,38
199,38
191,38
191,38
170,55
190,55
101,26
83,26
98,38
138,55
154,38
170,76
189,76
182,38
251,38
251,38
80,38
93,26
221,38
214,38
140,76
140,76
166,76
166,76
206,38
261,38
208,34
193,38
259,76
259,76
146,34
152,34
95,34
186,38
175,34
75,28
224,76
212,76
140,76
140,76
281,76
281,76
140,76
170,55
170,55
255,34
302,24
149,16
120,16
171,55
171,55
171,55
142,24
142,24
170,55
170,55
187,55
187,55
210,76
210,76
210,76
213,55
213,55
213,55
213,55
213,55
258,20
258,20
290,20
290,20
210,55
210,55
210,55
408,55
368,55
415,55
378,55
280,38
280,38
170,26
170,55
170,30
170,30
170,20
241,38
210,76
210,76
210,76
140,55
140,55
248.55,32
180,38
210,76
210,76
170,55
170,55
170,55
170,55
210,55
170,76
170,76
109,32
210,55
210,55
210,55
170,55
210,76
210,76
234,26
250,30
210,38
210,38
140,10
120,38
131,38
140,38
140,55
170,30
170,30
211,38
220,76
220,76
210,55
210,55
210,55
210,55
250,55
250,55
150,20
150,28
170,55
120,30
120,30
180,20
127,22
140,55
140,55
508,76
213,76
345,76
346,76
627.5,76
627.5,76
218,76
218,76
210,76
210,76
220,76
220,76
220,76
220,76
210,26
210,76
210,76
170,55
257,16
257,16
140,55
140,55
210,76
210,76
177,55
177,55
177,55
170,55
170,55
140,55
140,55
210,76
210,76
212,55
212,55
212,55
170,55
170,55
170,55
181,30
181,30
170,38
210,76
210,76
140,55
140,55
135,20
124,26
200,55
210,76
210,76
210,76
210.2,76
210.2,76
140,55
140,55
170,55
170,55
144,28
125.51,55
210,55
210,55
210,55
170,38
170,38
148,30
238,28
170,55
140,55
120,6
353,76
187,76
372,76
210,76
170,55
210,76
190,55
142,55
164,55
170,55
